pollster,house_effect,n_polls
Susquehanna,6.563243407214469,1
Fabrizio/McLaughlin,3.5641223709547063,1
OnMessage Inc.,3.563575459593047,1
OnMessage Public Strategies,2.5642484054627697,1
AtlasIntel,2.2802104022278002,12
Fabrizio/Impact,2.0639646840563928,2
Benenson Strategy Group/GS Strategy Group,2.0608198709406156,4
Quantus Insights,1.6643424457516112,1
Public Opinion Strategies,1.5571926917372165,1
InsiderAdvantage,1.113963584472277,2
Redfield & Wilton Strategies,1.061727845418407,12
Patriot Polling,0.7121734043408885,2
Trafalgar Group,0.7119158022070764,4
RMG Research,0.5642305870392237,1
CNN/SSRS,0.5619181004791074,2
Siena/NYT,0.3107166452996823,8
Emerson,0.2228571382028719,5
YouGov,-0.4367565927855304,4
Washington Post/George Mason University,-0.9360353159436074,2
Noble Predictive Insights,-1.0368618796893687,5
Data for Progress,-1.4367086224414738,1
Beacon/Shaw,-1.4400478977317008,2
Morning Consult,-2.053803680273318,17
TIPP,-2.1606575542483863,4
Tarrance,-2.4364708019159034,1
Focaldata,-2.436756830590151,3
Strategies 360,-5.441901032013129,1
CES / YouGov,-5.9365347527434755,2
