state_name,n,p_hat,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state,bias_harris,abs_bias_harris,f_s
Alabama,427,0.41920374707259955,0.023878692525024565,0.3724015097235514,0.4660059844216477,0.6457209205815222,0.3410072005968858,2265090,0.07819654647571378,0.07819654647571378,0.00018851348070054612
Alaska,73,0.5068493150684932,0.05851508257543081,0.3921597532206488,0.6215388769163376,0.5454480937497228,0.4140612756041954,338177,0.09278803946429776,0.09278803946429776,0.00021586329052537576
Arizona,861,0.48548199767711964,0.01703276979625208,0.4520977688764656,0.5188662264777737,0.5223002024890546,0.4670141701031977,3389319,0.018467827573921958,0.018467827573921958,0.0002540333323596864
Arkansas,239,0.4811715481171548,0.03231937184803326,0.41782557929500963,0.5445175169393,0.6419687217800987,0.3355990989924544,1182676,0.1455724491247004,0.1455724491247004,0.00020208408727326842
California,2503,0.6508190171793847,0.009528509779838,0.6321431380109023,0.6694948963478672,0.383329021034668,0.58467704244594,15865475,0.06614197473344474,0.06614197473344474,0.00015776394970840773
Colorado,611,0.6088379705400983,0.01974279359166606,0.5701420951004328,0.6475338459797637,0.4314284416700989,0.5412768636392822,3192745,0.06756110690081607,0.06756110690081607,0.00019137137478877895
Connecticut,301,0.6411960132890365,0.027646540148158292,0.5870087945986463,0.6953832319794268,0.4189390623134604,0.5639837181141665,1759010,0.07721229517487005,0.07721229517487005,0.00017111898169993347
Delaware,116,0.6293103448275862,0.04484444711718832,0.541415228477897,0.7172054611772753,0.4179090800974044,0.5649262155570243,512913,0.06438412927056192,0.06438412927056192,0.00022615921218608224
District Of Columbia,72,0.9166666666666666,0.03257233166544049,0.8528248966024032,0.98050843673093,0.0646762963031156,0.9027707452994916,325869,0.01389592136717499,0.01389592136717499,0.000220947681430268
Florida,2435,0.5117043121149897,0.01012981467806172,0.49184987534598873,0.5315587488839907,0.5608834311631108,0.4298829273881028,10893752,0.08182138472688688,0.08182138472688688,0.00022352262104002367
Georgia,1011,0.5509396636993076,0.015643315004011758,0.5202787662914445,0.5816005611071706,0.5071729539955493,0.4852529230675474,5250905,0.06568674063176017,0.06568674063176017,0.00019253823864648093
Hawaii,100,0.7,0.045825756949558406,0.6101815163788655,0.7898184836211344,0.3748028356825321,0.6058513531036325,516701,0.09414864689636748,0.09414864689636748,0.00019353552634889423
Idaho,175,0.4057142857142857,0.03711835926805206,0.33296230154890366,0.4784662698796677,0.6687379910878541,0.3038173286323403,905057,0.1018969570819454,0.1018969570819454,0.00019335798739747884
Illinois,1218,0.6133004926108374,0.013954035452065075,0.5859505831247899,0.640650402096885,0.4347495522170801,0.543705743159883,5633310,0.06959474945095445,0.06959474945095445,0.00021621391331206696
Indiana,734,0.5149863760217984,0.018447045078190782,0.47883016766854447,0.5511425843750524,0.5858141702339072,0.3962311823874399,2936677,0.11875519363435855,0.11875519363435855,0.00024994236683162634
Iowa,408,0.5808823529411765,0.024427666580446004,0.5330041264435024,0.6287605794388507,0.5572682034209675,0.425173098263547,1663506,0.15570925467762953,0.15570925467762953,0.0002452651207750378
Kansas,304,0.5888157894736842,0.028220918632946533,0.533502788953109,0.6441287899942594,0.5715630792917397,0.4104072715166041,1327591,0.17840851795708007,0.17840851795708007,0.0002289861862576652
Kentucky,429,0.48484848484848486,0.024129141266288696,0.43755536796655903,0.5321416017304107,0.6447214549801642,0.3393747017396711,2074530,0.14547378310881376,0.14547378310881376,0.00020679382799959509
Louisiana,320,0.471875,0.027906595567569237,0.4171780726875643,0.5265719273124357,0.6021524931800346,0.3821024178178602,2006975,0.08977258218213979,0.08977258218213979,0.00015944393926182438
Maine,183,0.5300546448087432,0.036894230621390835,0.4577419527908172,0.6023673368266692,0.4546408058938505,0.52401383250639,831375,0.0060408123023532045,0.0060408123023532045,0.0002201172755976545
Maryland,559,0.6797853309481217,0.01973334014741694,0.6411079842591845,0.7184626776370588,0.3408282302077388,0.6261908664419382,3038334,0.05359446450618344,0.05359446450618344,0.00018398240614757956
Massachusetts,643,0.656298600311042,0.018729919160494143,0.6195879587564735,0.6930092418656105,0.3602252719603601,0.6121822810930694,3473668,0.044116319217972655,0.044116319217972655,0.00018510692443837466
Michigan,1159,0.5832614322691976,0.014481773790807258,0.5548771556392154,0.6116457088991798,0.4972710995013228,0.4831290850971348,5664186,0.10013234717206276,0.10013234717206276,0.000204618986735252
Minnesota,652,0.6242331288343558,0.018967445864095735,0.5870569349407282,0.6614093227279834,0.4668313910606284,0.5092254880267493,3253920,0.1150076408076065,0.1150076408076065,0.0002003737031027192
Mississippi,200,0.41,0.0347778665245584,0.3418353816118655,0.47816461838813445,0.6089080852893467,0.3800203256004847,1228008,0.029979674399515266,0.029979674399515266,0.0001628653884990977
Missouri,815,0.49938650306748467,0.017514222918633165,0.46505862614696364,0.5337143799880056,0.5849064225708912,0.4008240168769553,2995327,0.09856248619052937,0.09856248619052937,0.00027209049295786404
Montana,158,0.4430379746835443,0.03951888890393512,0.3655809524318314,0.5204949969352571,0.583914767572803,0.3846106643359542,602963,0.05842731034759008,0.05842731034759008,0.0002620392959435322
Nebraska,211,0.5023696682464455,0.0344210329638107,0.43490444363737646,0.5698348928555145,0.5931807154514578,0.3885759235104213,952182,0.11379374473602416,0.11379374473602416,0.0002215962914652871
Nevada,378,0.5925925925925926,0.025272410652797974,0.5430586677131085,0.6421265174720766,0.5126926765014008,0.4812925065604706,1465215,0.11130008603212194,0.11130008603212194,0.0002579826168855765
New Hampshire,179,0.6201117318435754,0.036277420519063464,0.549007987626211,0.6912154760609398,0.478731864016587,0.5065281672837572,826189,0.11358356455981822,0.11358356455981822,0.0002166574476300217
New Jersey,904,0.5652654867256637,0.01648747232389011,0.5329500409708391,0.5975809324804883,0.4606463088544196,0.5197416168838388,4272725,0.04552386984182488,0.04552386984182488,0.00021157458062477693
New Mexico,224,0.59375,0.032815157205332936,0.5294322918775475,0.6580677081224525,0.4585116141056505,0.5185189998299767,923403,0.07523100017002327,0.07523100017002327,0.00024258097493727007
New York,1732,0.6333718244803695,0.011578927773345704,0.610677126044612,0.6560665229161271,0.4331444097499576,0.5590486045554668,8262600,0.07432321992490276,0.07432321992490276,0.00020961924817853943
North Carolina,1049,0.5367016205910391,0.015396042446619336,0.5065253773956652,0.566877863786413,0.5085719058363357,0.4764533813078146,5699141,0.06024823928322448,0.06024823928322448,0.00018406282631014043
North Dakota,65,0.5230769230769231,0.06195127807973242,0.40165241804064755,0.6445014281131987,0.669568524127066,0.3051079029213239,368155,0.2179690201555992,0.2179690201555992,0.00017655607013350355
Ohio,1360,0.5698529411764706,0.013425189411770294,0.5435395699294008,0.5961663124235403,0.5513579902728741,0.4392843495634722,5767788,0.13056859161299839,0.13056859161299839,0.0002357923002717853
Oklahoma,346,0.43352601156069365,0.026641551755575404,0.3813085701197659,0.4857434530016214,0.6616210342024795,0.3189934956099997,1566173,0.11453251595069397,0.11453251595069397,0.00022092067734535073
Oregon,675,0.6518518518518519,0.0183360004156633,0.6159132910371519,0.6877904126665519,0.4096604444745428,0.5527306166693324,2244493,0.09912123518251947,0.09912123518251947,0.0003007360682345634
Pennsylvania,1851,0.5359265262020529,0.011591584083465391,0.5132070213984607,0.5586460310056451,0.5037253671558666,0.4866280572391539,7034206,0.04929846896289902,0.04929846896289902,0.0002631427058007684
Rhode Island,121,0.6446280991735537,0.04351144172973782,0.5593456733832676,0.7299105249638398,0.4178753659230616,0.5557664796934627,513086,0.08886161948009097,0.08886161948009097,0.00023582791189001454
South Carolina,522,0.42337164750957856,0.021625872099200184,0.3809849381951462,0.4657583568240109,0.5822862951015251,0.4036089068889464,2548140,0.019762740620632158,0.019762740620632158,0.00020485530622336293
South Dakota,104,0.5,0.04902903378454601,0.40390309378228983,0.5960969062177102,0.6343367791812964,0.3423909242239847,428922,0.1576090757760153,0.1576090757760153,0.00024246832757471054
Tennessee,763,0.4456094364351245,0.01799379777356585,0.41034159279893545,0.4808772800713136,0.6419393709149847,0.3447405336001791,3063942,0.10086890283494543,0.10086890283494543,0.0002490256016595614
Texas,2257,0.4931324767390341,0.010523573914865164,0.4725062718658984,0.5137586816121699,0.561399597529967,0.4245665474312461,11388674,0.06856592930778799,0.06856592930778799,0.00019817934906205938
Utah,137,0.4744525547445255,0.04266208491564577,0.3908348683098598,0.5580702411791912,0.5937665855556018,0.3779430753499846,1488494,0.09650947939454091,0.09650947939454091,9.203933640310274e-05
Vermont,77,0.7402597402597403,0.04997080410071181,0.6423169642223452,0.8382025162971354,0.322959777110552,0.6378073521058184,369690,0.10245238815392188,0.10245238815392188,0.00020828261516405637
Virginia,952,0.5378151260504201,0.016158680584663316,0.5061441121044801,0.5694861399963602,0.4605739184347081,0.5182386736091495,4503288,0.019576452441270598,0.019576452441270598,0.00021140109182446248
Washington,864,0.6261574074074074,0.016459979121518805,0.5938958483292306,0.6584189664855843,0.3901193172797912,0.5723012056083173,3924243,0.05385620179909012,0.05385620179909012,0.00022016985186697153
West Virginia,236,0.3855932203389831,0.03168375838857197,0.32349305389738203,0.4476933867805841,0.6996684955362295,0.2810300242333959,762584,0.10456319610558718,0.10456319610558718,0.0003094741038364298
Wisconsin,769,0.5838751625487646,0.017774960731555677,0.5490362395149154,0.6187140855826138,0.495958711251628,0.4873704248830968,3422918,0.0965047376656678,0.0965047376656678,0.00022466211577373458
Wyoming,51,0.3137254901960784,0.06497387212388346,0.18637670083326685,0.44107427955889,0.7159800481698433,0.2584185721506943,269048,0.055306918045384124,0.055306918045384124,0.00018955725372424252
