state_name,p_trump_true,p_harris_true,N_state
Alabama,0.6457209205815222,0.3410072005968858,2265090
Alaska,0.5454480937497228,0.4140612756041954,338177
Arizona,0.5223002024890546,0.46701417010319773,3389319
Arkansas,0.6419687217800987,0.3355990989924544,1182676
California,0.38332902103466804,0.58467704244594,15865475
Colorado,0.4314284416700989,0.5412768636392822,3192745
Connecticut,0.4189390623134604,0.5639837181141665,1759010
Delaware,0.4179090800974044,0.5649262155570243,512913
District Of Columbia,0.06467629630311567,0.9027707452994915,325869
Florida,0.5608834311631108,0.42988292738810285,10893752
Georgia,0.5071729539955493,0.4852529230675474,5250905
Hawaii,0.3748028356825321,0.6058513531036325,516701
Idaho,0.6687379910878541,0.3038173286323403,905057
Illinois,0.43474955221708017,0.543705743159883,5633310
Indiana,0.5858141702339072,0.39623118238743993,2936677
Iowa,0.5572682034209675,0.425173098263547,1663506
Kansas,0.5715630792917397,0.4104072715166041,1327591
Kentucky,0.6447214549801642,0.33937470173967116,2074530
Louisiana,0.6021524931800346,0.3821024178178602,2006975
Maine,0.45464080589385053,0.52401383250639,831375
Maryland,0.34082823020773884,0.6261908664419382,3038334
Massachusetts,0.3602252719603601,0.6121822810930694,3473668
Michigan,0.49727109950132287,0.48312908509713487,5664186
Minnesota,0.46683139106062843,0.5092254880267493,3253920
Mississippi,0.6089080852893467,0.3800203256004847,1228008
Missouri,0.5849064225708912,0.40082401687695535,2995327
Montana,0.583914767572803,0.38461066433595426,602963
Nebraska,0.5931807154514578,0.3885759235104213,952182
Nevada,0.5126926765014008,0.4812925065604706,1465215
New Hampshire,0.478731864016587,0.5065281672837572,826189
New Jersey,0.4606463088544196,0.5197416168838388,4272725
New Mexico,0.4585116141056505,0.5185189998299767,923403
New York,0.43314440974995766,0.5590486045554668,8262600
North Carolina,0.5085719058363357,0.4764533813078146,5699141
North Dakota,0.669568524127066,0.3051079029213239,368155
Ohio,0.5513579902728741,0.4392843495634722,5767788
Oklahoma,0.6616210342024795,0.3189934956099997,1566173
Oregon,0.4096604444745428,0.5527306166693324,2244493
Pennsylvania,0.5037253671558666,0.4866280572391539,7034206
Rhode Island,0.4178753659230616,0.5557664796934627,513086
South Carolina,0.5822862951015251,0.40360890688894646,2548140
South Dakota,0.6343367791812964,0.34239092422398476,428922
Tennessee,0.6419393709149847,0.3447405336001791,3063942
Texas,0.561399597529967,0.42456654743124617,11388674
Utah,0.5937665855556018,0.3779430753499846,1488494
Vermont,0.32295977711055207,0.6378073521058184,369690
Virginia,0.46057391843470813,0.5182386736091495,4503288
Washington,0.39011931727979127,0.5723012056083173,3924243
West Virginia,0.6996684955362295,0.2810300242333959,762584
Wisconsin,0.495958711251628,0.48737042488309684,3422918
Wyoming,0.7159800481698433,0.2584185721506943,269048
