state,total_registered,total_voted
national,173854000,154308000
alabama,2605000,2219000
alaska,408000,324000
arizona,3578000,3201000
arkansas,1472000,1200000
california,18471000,16385000
colorado,3158000,2997000
connecticut,1882000,1729000
delaware,577000,521000
district of columbia,432000,404000
florida,10788000,9703000
georgia,5401000,4908000
hawaii,679000,587000
idaho,1017000,932000
illinois,6780000,5817000
indiana,3536000,2912000
iowa,1861000,1658000
kansas,1628000,1443000
kentucky,2558000,2152000
louisiana,2160000,1897000
maine,831000,753000
maryland,3497000,3091000
massachusetts,3728000,3408000
michigan,6090000,5444000
minnesota,3519000,3193000
mississippi,1751000,1490000
missouri,3707000,3240000
montana,651000,610000
nebraska,1016000,928000
nevada,1640000,1493000
new hampshire,856000,788000
new jersey,5175000,4581000
new mexico,1135000,984000
new york,9051000,8091000
north carolina,5374000,4971000
north dakota,442000,401000
ohio,6593000,5922000
oklahoma,2062000,1747000
oregon,2604000,2362000
pennsylvania,7413000,6828000
rhode island,645000,568000
south carolina,2935000,2510000
south dakota,473000,394000
tennessee,3980000,3433000
texas,13641000,11442000
utah,1736000,1555000
vermont,401000,373000
virginia,4981000,4565000
washington,4250000,3863000
west virginia,1001000,807000
wisconsin,3380000,3201000
wyoming,307000,283000
