state_name,n,p_hat,p_trump_true,bias,abs_bias
North Dakota,65,0.4307692307692308,0.669568524127066,-0.23879929335783523,0.23879929335783523
Kansas,304,0.3881578947368421,0.5715630792917397,-0.18340518455489757,0.18340518455489757
South Dakota,104,0.4807692307692308,0.6343367791812964,-0.1535675484120656,0.1535675484120656
Arkansas,239,0.49372384937238495,0.6419687217800987,-0.14824487240771372,0.14824487240771372
Iowa,408,0.4117647058823529,0.5572682034209675,-0.14550349753861458,0.14550349753861458
Hawaii,100,0.24,0.3748028356825321,-0.1348028356825321,0.1348028356825321
Kentucky,429,0.5104895104895105,0.6447214549801642,-0.13423194449065368,0.13423194449065368
Oklahoma,346,0.5289017341040463,0.6616210342024795,-0.13271930009843325,0.13271930009843325
Ohio,1360,0.4198529411764706,0.5513579902728741,-0.13150504909640354,0.13150504909640354
Nebraska,211,0.46445497630331756,0.5931807154514578,-0.12872573914814023,0.12872573914814023
Vermont,77,0.19480519480519481,0.322959777110552,-0.1281545823053572,0.1281545823053572
Indiana,734,0.45776566757493187,0.5858141702339072,-0.12804850265897538,0.12804850265897538
Alaska,73,0.4246575342465753,0.5454480937497228,-0.12079055950314749,0.12079055950314749
West Virginia,236,0.5805084745762712,0.6996684955362295,-0.11916002095995826,0.11916002095995826
Nevada,378,0.3941798941798942,0.5126926765014008,-0.11851278232150664,0.11851278232150664
Minnesota,652,0.3512269938650307,0.4668313910606284,-0.11560439719559767,0.11560439719559767
New Hampshire,179,0.3687150837988827,0.478731864016587,-0.11001678021770434,0.11001678021770434
Utah,137,0.48905109489051096,0.5937665855556018,-0.10471549066509084,0.10471549066509084
Missouri,815,0.4822085889570552,0.5849064225708912,-0.102697833613836,0.102697833613836
Michigan,1159,0.39516824849007764,0.4972710995013228,-0.10210285101124517,0.10210285101124517
Tennessee,763,0.54521625163827,0.6419393709149847,-0.09672311927671462,0.09672311927671462
Wisconsin,769,0.40052015604681407,0.495958711251628,-0.09543855520481392,0.09543855520481392
Oregon,675,0.31555555555555553,0.4096604444745428,-0.09410488891898727,0.09410488891898727
Louisiana,320,0.509375,0.6021524931800346,-0.09277749318003459,0.09277749318003459
Idaho,175,0.5771428571428572,0.6687379910878541,-0.09159513394499696,0.09159513394499696
Connecticut,301,0.3289036544850498,0.4189390623134604,-0.09003540782841057,0.09003540782841057
Florida,2435,0.47433264887063653,0.5608834311631108,-0.08655078229247426,0.08655078229247426
Georgia,1011,0.42433234421364985,0.5071729539955493,-0.08284060978189944,0.08284060978189944
Delaware,116,0.33620689655172414,0.4179090800974044,-0.08170218354568026,0.08170218354568026
New York,1732,0.35161662817551964,0.4331444097499576,-0.08152778157443796,0.08152778157443796
Alabama,427,0.5644028103044496,0.6457209205815222,-0.08131811027707259,0.08131811027707259
Rhode Island,121,0.33884297520661155,0.4178753659230616,-0.07903239071645007,0.07903239071645007
New Mexico,224,0.38392857142857145,0.4585116141056505,-0.07458304267707905,0.07458304267707905
Texas,2257,0.4873726185201595,0.561399597529967,-0.07402697900980754,0.07402697900980754
Illinois,1218,0.36288998357963875,0.4347495522170801,-0.07185956863744136,0.07185956863744136
Colorado,611,0.36006546644844517,0.4314284416700989,-0.07136297522165375,0.07136297522165375
Montana,158,0.5126582278481012,0.583914767572803,-0.0712565397247018,0.0712565397247018
Wyoming,51,0.6470588235294118,0.7159800481698433,-0.06892122464043149,0.06892122464043149
California,2503,0.3148222133439872,0.383329021034668,-0.0685068076906808,0.0685068076906808
North Carolina,1049,0.44518589132507147,0.5085719058363357,-0.06338601451126424,0.06338601451126424
Pennsylvania,1851,0.4467855213398163,0.5037253671558666,-0.05693984581605027,0.05693984581605027
New Jersey,904,0.41261061946902655,0.4606463088544196,-0.04803568938539304,0.04803568938539304
Washington,864,0.3449074074074074,0.3901193172797912,-0.045211909872383826,0.045211909872383826
Massachusetts,643,0.3157076205287714,0.3602252719603601,-0.0445176514315887,0.0445176514315887
Maryland,559,0.29695885509839,0.3408282302077388,-0.043869375109348796,0.043869375109348796
Mississippi,200,0.57,0.6089080852893467,-0.03890808528934675,0.03890808528934675
South Carolina,522,0.5574712643678161,0.5822862951015251,-0.024815030733708943,0.024815030733708943
Virginia,952,0.4380252100840336,0.4605739184347081,-0.022548708350674462,0.022548708350674462
Arizona,861,0.5005807200929152,0.5223002024890546,-0.02171948239613941,0.02171948239613941
Maine,183,0.44808743169398907,0.4546408058938505,-0.006553374199861406,0.006553374199861406
District Of Columbia,72,0.06944444444444445,0.0646762963031156,0.004768148141328851,0.004768148141328851
